#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
181.0,Mauritius,385,,10.0,,357.0,,18.0,,303.0,8.0,246326.0,193604.0,1272318.0,Africa,3305.0,127232.0,5.0
182.0,Isle of Man,342,,24.0,,315.0,,3.0,,4016.0,282.0,13257.0,155690.0,85150.0,Europe,249.0,3548.0,6.0
183.0,Mongolia,313,,,,307.0,,6.0,1.0,95.0,,73071.0,22198.0,3291717.0,Asia,10517.0,,45.0
184.0,Bhutan,283,,,,230.0,1.0,53.0,,366.0,,141217.0,182501.0,773788.0,Asia,2734.0,,5.0
185.0,Cambodia,278,,,,275.0,,3.0,,17.0,,142983.0,8522.0,16778051.0,Asia,60353.0,,117.0
186.0,Monaco,222,,2.0,,188.0,,32.0,1.0,5647.0,51.0,51953.0,1321489.0,39314.0,Europe,177.0,19657.0,1.0
187.0,Cayman Islands,213,,1.0,,209.0,,3.0,,3231.0,15.0,39814.0,603975.0,65920.0,North America,309.0,65920.0,2.0
188.0,Barbados,196,,7.0,,182.0,,7.0,,682.0,24.0,24360.0,84740.0,287467.0,North America,1467.0,41067.0,12.0
189.0,Bermuda,181,,9.0,,169.0,,3.0,,2909.0,145.0,66664.0,1071458.0,62218.0,North America,344.0,6913.0,1.0
190.0,Brunei,146,,3.0,,142.0,,1.0,,333.0,7.0,58914.0,134336.0,438557.0,Asia,3004.0,146186.0,7.0
191.0,Seychelles,146,,,,143.0,,3.0,,1482.0,,5200.0,52789.0,98505.0,Africa,675.0,,19.0
192.0,Caribbean Netherlands,124,,1.0,,46.0,,77.0,,4717.0,38.0,2575.0,97961.0,26286.0,North America,212.0,26286.0,10.0
193.0,Liechtenstein,123,,1.0,,116.0,,6.0,,3224.0,26.0,900.0,23587.0,38156.0,Europe,310.0,38156.0,42.0
194.0,Antigua and Barbuda,107,,3.0,,96.0,,8.0,,1090.0,31.0,2878.0,29326.0,98138.0,North America,917.0,32713.0,34.0
195.0,British Virgin Islands,71,,1.0,,66.0,,4.0,2.0,2345.0,33.0,4841.0,159859.0,30283.0,North America,427.0,30283.0,6.0
196.0,St. Vincent Grenadines,64,,,,64.0,,0.0,,576.0,,5225.0,47059.0,111032.0,North America,1735.0,,21.0
197.0,St. Barth,62,,,,37.0,,25.0,,6272.0,,2668.0,269904.0,9885.0,North America,159.0,,4.0
198.0,Macao,46,,,,46.0,,0.0,,71.0,,4238.0,6504.0,651596.0,Asia,14165.0,,154.0
199.0,Fiji,32,,2.0,,28.0,,2.0,1.0,36.0,2.0,10385.0,11563.0,898123.0,Australia/Oceania,28066.0,449062.0,86.0
200.0,Dominica,31,,,,24.0,,7.0,,430.0,,2612.0,36261.0,72033.0,North America,2324.0,,28.0
201.0,Timor-Leste,28,,,,28.0,,0.0,,21.0,,8073.0,6094.0,1324798.0,Asia,47314.0,,164.0
202.0,New Caledonia,27,,,,27.0,,0.0,,94.0,,14585.0,50960.0,286204.0,Australia/Oceania,10600.0,,20.0
203.0,Saint Lucia,27,,,,27.0,,0.0,,147.0,,8120.0,44168.0,183845.0,North America,6809.0,,23.0
204.0,Grenada,24,,,,24.0,,0.0,,213.0,,6252.0,55495.0,112658.0,North America,4694.0,,18.0
205.0,Laos,23,,,,22.0,,1.0,,3.0,,54069.0,7404.0,7302488.0,Asia,317499.0,,135.0
206.0,Saint Kitts and Nevis,19,,,,17.0,,2.0,,356.0,,2431.0,45613.0,53296.0,North America,2805.0,,22.0
207.0,Saint Pierre Miquelon,16,,,,6.0,,10.0,,2765.0,,1967.0,339900.0,5787.0,North America,362.0,,3.0
208.0,Greenland,14,,,,14.0,,0.0,,246.0,,7949.0,139957.0,56796.0,North America,4057.0,,7.0
209.0,Montserrat,13,,1.0,,12.0,,0.0,,2604.0,200.0,449.0,89926.0,4993.0,North America,384.0,4993.0,11.0
210.0,Falkland Islands,13,,,,13.0,,0.0,,3709.0,,2261.0,645078.0,3505.0,South America,270.0,,2.0
211.0,Vatican City,12,,,,12.0,,0.0,,14963.0,,,,802.0,Europe,67.0,,
212.0,Western Sahara,10,,1.0,,8.0,,1.0,,17.0,2.0,,,601016.0,Africa,60102.0,601016.0,
213.0,MS Zaandam,9,,2.0,,,,7.0,,,,,,,,,,
214.0,Anguilla,3,,,,3.0,,0.0,,200.0,,1020.0,67833.0,15037.0,North America,5012.0,,15.0
215.0,Solomon Islands,1,,,,,,1.0,,1.0,,,,691102.0,Australia/Oceania,691102.0,,
216.0,China,85450,16.0,4634.0,,80621.0,10.0,195.0,2.0,59.0,3.0,160000000.0,111163.0,1439323776.0,Asia,16844.0,310601.0,9.0
